language,round,question,answer
Bhojpuri,HR,Apna bare mein batayiye,Hum ek mehnati aur zimmedar vyakti bani jo team aur individual dono mein achha kaam karela
Bhojpuri,HR,Apka sabse bada strength kaun sa hai,Hamaar sabse bada strength fast learning aur problem solving ba
Bhojpuri,HR,Apka sabse bada weakness kaun sa hai,Kabhi kabhi perfection pe zyada focus kar deta bani lekin ab time manage seekh gail bani
Bhojpuri,HR,Company mein kaam kare ke ichha kyon hai,Ee company growth aur learning opportunity dewe la isliye
Bhojpuri,Behavioral,Ap stress kaise handle karele,Planning aur calm rah ke stress handle karila
Bhojpuri,Behavioral,Team mein kaam kare ke anubhav batayiye,Team ke sath coordination aur communication se kaam complete karila
Bhojpuri,Behavioral,Ap pressure mein kaam kar paate hain,Haan hum pressure mein focus ke sath kaam kar sakila
Bhojpuri,Behavioral,Ap leadership role sambhale hain kya,Haan chhota team lead kare ke experience ba
Bhojpuri,HR,Ap future mein apne aap ko kahan dekhte hain,Company ke sath grow karte hue leadership role mein
Bhojpuri,Technical,Deadline ke under kaam kaise karte hain,Task ko break karke priority set karila
Bhojpuri,Behavioral,Customer problem kaise solve karenge,Pehele dhyan se sun ke phir solution deila
Bhojpuri,HR,Apka communication skill kaisa hai,Clear aur polite communication ba
Bhojpuri,Behavioral,Failure se apne kya seekha,Failure se improvement aur growth seekhile
Bhojpuri,Technical,Ap naye skills kaise seekhte hain,Training aur practice se
Bhojpuri,Behavioral,Ap teamwork ko kaise dekhte hain,Teamwork success ke liye bahut jaruri ba
Bhojpuri,HR,Apka sabse bada achievement kya hai,Time par project complete karna
Bhojpuri,HR,Ap company ke liye kya value la sakte hain,Mehnat aur dedication
Bhojpuri,Behavioral,Ap conflict kaise handle karte hain,Shant dimag se baat karke
Bhojpuri,Technical,Ap time management kaise karte hain,Daily planning se
Bhojpuri,Technical,Ap multitasking kar sakte hain kya,Haan priority ke sath
Bhojpuri,Behavioral,Ap apni mistakes kaise sudharte hain,Accept karke improve karila
Bhojpuri,HR,Ap feedback kaise lete hain,Positive tarike se
Bhojpuri,Technical,Ap learning ko kaise priority dete hain,Daily thoda thoda seekh ke
Bhojpuri,HR,Apka work ethics kaisa hai,Imandari aur discipline
Bhojpuri,Behavioral,Ap pressure deadline pasand hai kya,Haan kyunki focus badhta hai
Bhojpuri,Technical,Ap decision kaise lete hain,Data aur situation dekh ke
Bhojpuri,Behavioral,Ap naye challenges kaise accept karte hain,Positive mindset se
Bhojpuri,Technical,Ap technology update kaise rehte hain,Online learning se
Bhojpuri,Behavioral,Ap team conflict kaise solve karte hain,Discussion se
Bhojpuri,HR,Apka career goal kya hai,Professional growth
Bhojpuri,Technical,Ap productivity kaise badhate hain,Time management se
Bhojpuri,Behavioral,Ap apni strengths ka use kaise karte hain,Team benefit ke liye
Bhojpuri,Behavioral,Ap pressure mein decision kaise lete hain,Shant reh ke
Bhojpuri,Technical,Ap kaam quality kaise ensure karte hain,Double check karke
Bhojpuri,Behavioral,Ap kaam ke stress ko kaise manage karte hain,Planning aur breaks se
Bhojpuri,HR,Ap innovation ko kaise dekhte hain,Improvement ka tareeka
Bhojpuri,HR,Apka professional behaviour kaisa hai,Respectful aur disciplined
Bhojpuri,HR,Ap company culture kaise follow karte hain,Rules aur values se
Bhojpuri,Technical,Ap apni efficiency kaise improve karte hain,Practice se
Bhojpuri,Behavioral,Ap teamwork kyun important hai,Better results ke liye
Bhojpuri,Behavioral,Ap work life balance kaise rakhte hain,Proper schedule se
Bhojpuri,Technical,Ap apni learning kaise continue karte hain,Daily learning se
Bhojpuri,Technical,Ap kaam ke goals kaise set karte hain,SMART goals se
Bhojpuri,Technical,Ap apni communication kaise improve karte hain,Practice se
Bhojpuri,Behavioral,Ap kaam ke pressure ko positive kaise banate hain,Challenge samajh ke
Bhojpuri,Technical,Ap kaam ke results kaise measure karte hain,Performance review se
Bhojpuri,HR,Ap apni professional growth kaise dekhte hain,Skills upgrade se
Bhojpuri,Behavioral,Ap kaam ke challenges kaise overcome karte hain,Learning aur effort se

Maithili,HR,Apna parichay diyon,Hum ek mehnati aur zimmedar vyakti chhi
Maithili,HR,Apan sabse bal majbooti ki chhai,Hamaar sabse bal majbooti learning ability chhai
Maithili,HR,Apan sabse kamjori ki chhai,Kabhi kabhi perfection par zyada focus
Maithili,HR,Ahan ei company mein kaam kyon karna chahait chhi,Growth aur learning ke karan
Maithili,Behavioral,Stress ke samay ahan ki karait chhi,Planning aur shant rahait chhi
Maithili,Behavioral,Team ke sath kaam ke anubhav,Team coordination ke experience chhai
Maithili,Behavioral,Ahan pressure mein kaam kar sakait chhi,Haan focus ke sath
Maithili,Behavioral,Ahan leadership role nibha chukal chhi,Haan team lead ke roop mein
Maithili,HR,Ahan bhavishya mein apna ke kahan dekhait chhi,Company ke sath grow karait chhi
Maithili,Technical,Deadline ke andar kaam kaise karait chhi,Priority set karait chhi
Maithili,Behavioral,Customer problem ke kaise solve karait chhi,Pehele sun ke solution deit chhi
Maithili,HR,Ahan communication skill ke kaise chhai,Clear aur polite chhai
Maithili,Behavioral,Failure se ahan ki seekhal chhi,Improvement aur growth
Maithili,Technical,Naya skill ahan kaise seekhait chhi,Training aur practice se
Maithili,Behavioral,Teamwork ke baare mein soch,Success ke liye zaruri
Maithili,HR,Ahan ke sabse bada achievement,Project time par complete
Maithili,HR,Ahan company ke ki fayda de sakait chhi,Dedication aur mehnat
Maithili,Behavioral,Conflict ke kaise handle karait chhi,Shant discussion se
Maithili,Technical,Ahan time management kaise karait chhi,Daily planning se
Maithili,Technical,Ahan multitasking kar sakait chhi,Haan priority ke sath
Maithili,HR,Ahan feedback kaise leait chhi,Positive way mein
Maithili,Technical,Ahan apna learning kaise badhait chhi,Daily practice se
Maithili,Technical,Ahan productivity kaise badhait chhi,Time management se
Maithili,Behavioral,Ahan mistakes se ki seekhait chhi,Improve karait chhi
Maithili,Behavioral,Ahan teamwork skills kaise improve karait chhi,Communication se
Maithili,HR,Ahan career goal ki chhai,Professional growth
Maithili,Behavioral,Ahan kaam ke stress kaise manage karait chhi,Planning se
Maithili,Behavioral,Ahan apna strengths kaise use karait chhi,Team benefit ke liye
Maithili,Behavioral,Ahan kaam ke challenges kaise accept karait chhi,Positive mindset se
Maithili,Technical,Ahan apna performance kaise measure karait chhi,Review se
Maithili,HR,Ahan company culture kaise follow karait chhi,Rules aur values se
Maithili,Technical,Ahan kaam ke goals kaise set karait chhi,Clear planning se
Maithili,Technical,Ahan kaam quality kaise ensure karait chhi,Double check se
Maithili,HR,Ahan professional behaviour kaisa chhai,Disciplined aur respectful
Maithili,Technical,Ahan kaam ke results kaise analyze karait chhi,Performance data se
Maithili,HR,Ahan apna growth kaise plan karait chhi,Skill development se
Maithili,Behavioral,Ahan kaam ke pressure ko positive kaise banait chhi,Challenge samajh ke
Maithili,Technical,Ahan apna communication kaise improve karait chhi,Practice se
Maithili,Behavioral,Ahan kaam ke conflicts kaise solve karait chhi,Discussion se
Maithili,HR,Ahan apna discipline kaise maintain karait chhi,Daily routine se
Maithili,HR,Ahan apna career ke next step kaise plan karait chhi,Goal setting se
